Name,Type,Subtype,Prerequisite,Description,Additional Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Chaos Rest,Chromatic,Chaos,25+ piety with Tiamat,"Whenever you take a short rest, roll thrice on the Choas Rest table. Each of the regional effects occur around you while you rest. ",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
Fivehead,Chromatic,Chaos,10+ piety with tiamat,"5 times per Long Rest when you fail a saving throw you may add 1d4 to the roll, possibly turning it into a success.  ",,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Chaotic Spellcasting,Chromatic,Chaos,Spellcasting or Pact Magic,Instead of casting a specific spell you can also choose to roll a die. Pick a spell level and count how many spells of that level you have prepared that take an action to cast. Roll a die with that many faces and the spell that it lands on gets cast. The spell is cast as if it was cast with a spellslot level one higher than the one used. ,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dyslectik Spellcasting,Chromatic,Chaos,Spellcasting,"Once per long rest when you cast a spell, you may change one letter of the spell, and the effect accordingly. The power of the spell remains approximately the same. ",,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chromatic Snack Summoner,Chromatic,Chaos,,"Once per long rest you can cast Summon Beast at a level equal to your proficiency bonus. Wisdom is your spellcasting ability for this spell. The type of beast it summons depends on the Chromatic type you associate with as seen in the Snack Summon table
When you cast the spell in this way it requires no components. If you kill the beast you regain a number of hit points equal to 5 times your proficiency bonus. Once you attack the beast it is no longer an ally and will fight back, but won’t run. 
You may also cast the spell in the regular way with any spell slots you have yourself.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Improved Elemental Spellcasting,Chromatic,Chaos,Genasi,Depending on your subrace you gain access to additional spells. You may cast these spells once per long rest and you use the same spellcasting ability as your other racial spells. You can also cast them with any spell slots of the appropriate level. If you have the Elemental Chaos or Mark of Tiamat Orenth Trait you may also choose the Chaos option. Improved Elemental Spells,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Power from Wealth,Chromatic,Fire,,For every 500 gp in gold coins you have on you (that is part of your personal wealth and not shared with anyone) during a long rest your current and maximum hit points increase by 1 to a maximum of twice your original maximum hp. This benefit lasts until the end of your next long rest. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Fire born of the Sun,Chromatic,Fire,,You may pick a tier 3 Cosmic (Sun) Orenth trait. Additionally this trait counts as a tier 3 Cosmic Orenth trait for the purpose of gaining access to further orenth traits. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Conductivity,Chromatic,Lightning,,"As an action point towards a willing creature within 100 feet of you that has a Lightning Orenth trait. You cast Lightning Bolt in their direction, using Wisdom as your spellcasting ability, but the spell ends at their location and they aren't affected. You may use this ability a number of times equal to your Wisdom modifier and regain all uses after a long rest.  ",,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Acidous Weakness,Chromatic,Water,,Whenever you take slashing damage you may deal acid damage equal to twice your level to any creature of your choice within 10 feet of you. ,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Merciless Strikes,Chromatic,Weapon Mastery,,"Whenever you hit a prone, unconscious or paralyzed creature with a weapon attack, you may deal additional fire damage to them equal to your Wisdom modifier.  ",,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flying Charge,Chromatic,Weapon Mastery,Exclusive,"Choose a weapon that you have proficiency with that has the Reach property. For every 10 feet you move straight toward a creature before hitting it with an attack with this weapon, the target takes an extra 1d6 damage. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Frozen Winds,Chromatic,Wind,,Twice per turn when you push a creature you may deal 1d4 cold damage to the creature for every 10 feet you push them,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Relentless,Chromatic,Wind,,"Whenever you hit with an attack roll you may choose to make an additional attack. You can keep making additional attacks until you miss with an attack roll, but each attack gets a cumulative -2 penalty to the attack roll. You may use this ability a number of times equal to your Wisdom modifier and regain all uses at the end of a long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Flyby,Chromatic,Wind,,"When you make a melee attack against a creature while flying, you don't provoke opportunity attacks from that creature for the rest of the turn, whether you hit or not.",,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Elemental Spellcasting,Chromatic,,"A tier 2 fire, lightning, wood, water or cold orenth trait",Whenever you cast a spell that deals elemental damage you can choose to change the damage type to the damage type associated with your previous orenth trait. Whenever you cast a spell that deals the same damage as your previously chosen orenth trait you may deal an additional 1d6 damage of that type. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Chromatic Resistance,Chromatic,,,"You gain resistance to fire, lightning, poison, acid or cold damage. Additionally, once on your turn you may deal additional damage equal to your proficiency bonus when you hit with an attack roll. The type of damage is the same as the one you have resistance to. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jumping Spark,Chromatic,Weapon Mastery,Exclusive,You gain the benefits of the Cleave Orenth trait. Before you make the second attack you may move 10 feet without provoking opportunity attacks or using your movement. You must end this movement in a place where you can reach your second target. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Jumping Lightning,Chromatic,Weapon Mastery,Jumping Charge Orenth Trait,"You may move up to 15 feet whenever you use your Jumping Charge ability. Additionally, whenever you cleave attack hits you may move again and strike a different target. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Synced Spellcasting,Cosmic,Abberant,,"When a creature casts a spell within 60 feet of you that you have prepared, you can use your reaction to expend a spell slot to cast the same spell. The spell slot must be of the same or lower level as the triggering spell. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Interrupted Teleport,Cosmic,Abberant,,"As a reaction to a creature teleporting within 60 feet of you can make an opposed Intelligence (Arcana) check against the teleporter. On a success you interrupt their teleport, causing them to only travel half the distance they intended to and taking 1d6 force damage for every 10 feet they intended to teleport (to a maximum number of dice equal to your level). On a success, they teleport successfully and only take half damage. You may use this feature a number of times equal to your Intelligence modifier and regain all uses after a long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Eldritch Doom,Cosmic,Abberant,,When you deal damage to a creature you can Doom them. While they are Doomed they take an additional 1d4 damage whenever they take damage. You may use this feature once per long rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Swarm in disguise,Cosmic,Abberant,,"You can occupy another creature's space and vice versa, and you can move through any opening large enough for a Tiny creature. You become resistant to bludgeoning, piercing and slashing damage. However, whenever you regain hit points or gain temporary hit points you only get half. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Horrific Jaw,Cosmic,Abberant,Ability to make a Bite attack,"You unhinge your jaw and attempt to swallow a creature whole. When you hit a creature of equal or smaller size than you with a bite attack, you may attempt to swallow it whole. It must succeed on a Dexterity saving throw (DC = 8+ your proficiency bonus + your Constitution modifier). On a failure, it gets swallowed into a pocket dimension, which it can attempt to escape at the end of each of its turns by repeating the saving throw, if it succeeds on a consequent turn it appears in an unoccupied space within 5 feet you. On a success, nothing happens. You may use this feature a number of times equal to your Constitution modifier and regain all uses after a long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Incomprehendable Mind,Cosmic,Abberant,,You become immune to psychic damage. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Demiplanar Stomach,Cosmic,Abberant,,Your mouth functions as a bag of holding. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Heat Stroke,Cosmic,Sun,,As an action you can channel the exhaustive heat of the sun. For the next minute any creature of your choice that starts its turn within 10 feet of you must succeed on a Constitution saving throw (DC = 8+your Proficiency Bonus + your Constitution modifier). On a failure they gain a exhaustion levels equal to your proficiency bonus that while they are within 10 feet of you and your aura remains. On a success they become immune to the effect for the next hour. You may use this feature a number of times equal to your Constitution modifier and regain all uses after a long rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Burning Touch,Cosmic,Sun,,Once per turn when you hit with an unarmed strike you may deal fire damage to the creature equal to your Proficiency bonus. Additionally whenever a creature starts its turn being grappled they also take fire damage equal to your Proficiency bonus. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Burned Memories of the Amnizu,Cosmic,Sun,,Once per long rest you may cast Modify Memory using Charisma as your spellcasting ability. On a successful save the creature takes fire damage equal to twice your level. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Little sustenance needed,Fey,Elf,,You can drink from a potion twice and get the full effect both times. Additionally you only need to drink and eat half as much. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shroud of the Wilderness,Fey,Elf,Mask of the Wild,"While you are in an area that is lightly obscured, you can Hide as a bonus action even if you are being directly observed.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Goblin Magic,Fey,Gobos,Goblin,"You are in tune with your Fey ancestry. You learn the Prestidigitation cantrip. In addition, once per turn when you hit a creature with a spell attack you can do 2d6 extra damage if an ally is within 5 feet of the target.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Efficiency of the Small,Fey,Gobos,Goblin,You have become efficient with managing your movements in battle. As a bonus action you can select two options from your Nimble Escape feature at the same time. If you have the Cunning Action feature you can also pick one of those options.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Goblin Ferocity,Fey,Gobos,Goblin,Your feral nature allows you to move faster. As a bonus action you can move up to your speed to a target. If you move 30 feet in a straight line you are allowed to make a weapon attack or unarmed strike as part of the Bonus Action. You may use this ability a number of times equal to your proficiency bonus and regain all uses after you finish a Long Rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Faster than your Shadow,Fey,Weapon Mastery,Be a goblinoid,You may make an opportunity attack against a creature moved forcefully. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Opportunity of Many,Fey,Weapon Mastery,"Hobgoblin
Exclusive",Choose a weapon you are proficient with that has the Two-Handed property. While flanking an opponent you get advantage on the attack roll when wielding this weapon.,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Master Fey Bargainer,Fey,,Expert Fey Bargainer,Whenever you roll with advantage you roll three dice and take the highest one. Whenever you roll with disadvantage you roll three dice and the lowest one.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Improved Fey Steps,Fey,,Fey Steps,You have become more adept at using your Fey Steps casually. When you use your bonus action for Fey Steps you don’t provoke attacks of opportunity. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Anti Parallel Timelines,Gem,Crystal,,Once per long rest as a reaction to taking damage you take no damage and gain a number of temporary hit points equal to the damage dealt instead. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Illusory Duplicates,Gem,Emerald,,"At the start of your turn you may choose to create an illusory duplicate of yourself. Both versions of you can move up to your movement speed, but you share your action and bonus action. If you have the Extra Attack ability you can split the extra attack(s) between your two versions. At the end of your turn you decide which one is the real you and the duplicate dissapears. Both versions of you share the same hp pool, so whenever one takes damage the other takes the same damage. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ruby Rest,Gem,Ruby,10+ piety with Sardior,Whenever you take a short rest you may choose two Gem Rest Orenth effects that remain active during your rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spooky Ghost Boy,Gem,Ruby,Reborn,"Once per long rest you get a flying speed equal to your walking speed for the next minute, you can hover and you can move through creatures but not end your turn inside of them. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Old habits didn't die,Gem,Ruby,Reborn,Whenever you make an ability check have proficiency with you may choose to not roll and take 10 instead. You may do this a number of times equal to your Intelligence modifier and regain all uses after a Long Rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sent with a mission from Sardior,Gem,Ruby,Reborn,You are so focused on your task given to you by Sardior you can't be distracted easily. You have advantage on Constitution saving throws made to maintain concentration and saving throws to avoid being charmed. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dragonborn of Sardior,Gem,Ruby,Gem Dragonborn,"You count as every type of gem dragonborn for the sake of Orenth Prerequisites, and you do not need to meet any Sardior piety prerequisite. Additionally, you may pick a tier 2 Orenth trait",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Echolocation,Gem,Sapphire,,"You have blindsight out to 30 feet while you aren't deafened. Within that range, you can effectively see anything that isn't behind total cover, even if you're blinded or in darkness. Moreover, you can see an invisible creature within that range, unless the creature successfully hides from you. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Shell Shock,Gem,Sapphire,,Whenever you deal thunder damage to a creature you may force them to make a Constitution saving throw (DC=8+your your proficiency bonus + your Intelligence modifier). On a a failure they lose any bonus they had to their armour class due to natural armour until the end of your next turn. You may use this ability a number of times equal to your Intelligence modifier and regain all uses after you finish a Long Rest,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Temporary Ressurection,Gem,Topaz,,When you reduce a creature to 0 hit points you may use your reaction to keep its corpse under your temporary control. The creature regains 1 hit point and becomes charmed by you until the end of your next turn. While charmed you can give it commands that it must obey (no action from you required). You may use this ability a number of times equal to your Intelligence modifier and regain all uses at the end of a long rest. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Drain its life,Gem,Weapon Mastery,Exclusive,You gain the benefits of the Sap Orenth trait. After you use your Sap Orenth trait the creature only deals half damage on the next attack that hits. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
