Name,Type,Subtype,Prerequisite,Description,Additional Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Animating Breaths,Chromatic,Chaos,Chromatic Dragonborn,"Instead of using your Breath Weapon, you may instead spend 4 uses of it to summon an Animated Breath (FTD) related to your Chromatic ancestry. The Animated Breath is under your control and you can command it (no action required). It remains for 10 minutes. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Ruthless Fire,Chromatic,Weapon Mastery,Exclusive,"You gain the benefits of the Graze Orenth trait. Additionally, before you attack a creature you may reduce your hit bonus by a value of your choosing. If you hit you deal twice this value in fire damage to the target. ",,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Master Fey Steps,Fey,,Expert Fey Steps,You have mastered your Fey Steps Feature. You get a teleport speed equal to your walking speed. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Advanced Photosynthesis,Fey,,Photosynthesis Trait,Your Photosynthesis Trait functions whenever you are in bright light. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Slowed Time Strikes,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the Slow Orenth trait. However, instead of reducing their speed by 10 feet you may instead choose to give them the Dazed condition.  ",,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Vex,Ingens,Weapon Mastery,{optfeature Vex | ingensorenth},After you use your Vex Orenth Trait you can choose to make an additional attack against them instead of gaining advantage. You may do so once per turn. ,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Dragon Turtle Speed,Ingens,Weapon Mastery,Exclusive,"You gain the benefits of the Slow Orenth trait. However, instead of reducing their speed by 10 feet you may instead choose to give them the Slowed condition.  ",,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Human Variety,Ingens,,Human,The variety of humans leads to them being able to accomplish extraordinary feats. You gain a feat.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
School Mastered: Evocation,Cosmic,Spell Mastery,Spell mastery with an Evocation school spell. ,You may downcast any Evocation spell that can be upcast of 2nd level or higher. When you do so reduce the number of damage dice in the same pattern as it gets increased for higher level spellslots. ,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Mighty Recovery,Other,Spell Recovery,,Choose a tier 1 Orenth trait that gives you a first level spellslot back. You may instead get a fith level spellslot back. The orenth type of this trait is the same as the tier 1 trait you choose.  You cannot choose the same tier 1 trait in this way twice.,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
