Name,Type,Subtype,Prerequisite,Description,Additional Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Watery Dash,Chromatic,Water,Exclusive,"You gain the benefits of the Charge Orenth trait. Additionally while wielding this weapon you gain a swimming speed equal to twice your walking speed, but you can only move in a straight line and you get advantage on the attack while underwater. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grasping Grass,Chromatic,Weapon Mastery,Exclusive,"You get the benefits of the Topple Orenth Trait. Additionally, whenever a creature fails the saving throw you may choose to restrain them too as vines sprout from the ground. This effect lasts until the end of your next turn. You may do so a number of times equal to your Wisdom modifier and regain all uses after a long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Beat him up boys,Chromatic,Weapon Mastery,"Exclusive, Kobold","You get the benefits of the Vex Orenth Trait. Additionally, whenever you successfully hit a creature to gain advantage you may choose to give any ally advantage on attack rolls against them until the start of your next turn. You may use this ability a number of times equal to your Wisdom modifier and regain all uses after a long rest. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acidic Vex,Chromatic,Weapon Mastery,Exclusive,You get the benefits of the Vex Orenth trait. Whenever you hit a creature you may forgo the advantage from vex and instead deal an additional 2d4 acid damage when you hit. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Poisonous Graze,Chromatic,Weapon Mastery,Exclusive,You get the benefits of the Graze Orenth trait. The damage you deal with graze is increased by 1d8 poison damage. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aura of Cold,Chromatic,Wind,,"As a bonus action you can activate your aura. While your aura is active, any creature that starts its turn within 5 feet of you becomes slowed. They remain slowed until they end a turn further further than 5 feet away from you. It remains as long as you keep concentrating on it. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Expert Fey Steps,Fey,,Improved Fey Steps,You’ve become an expert at stepping in and out of reality. When you use your bonus action for Fey Steps you gain a teleporting speed equal to your walking speed.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Knowing thy Enemy,Gem,Amethyst,3 Amethyst Orenth traits,You may choose an Wood or Gold Orenth Trait of Tier 3 or lower if you meet the prerequisites. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Cold Karst Winds,Gem,Crystal,3 Crystal Orenth traits,You may choose a Wind or Silver Orenth Trait of Tier 3 or lower if you meet the prerequisites for it. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Subtle Magic Master,Gem,Emerald,Subtle Magic Expert,Whenever you cast a cantrip you may choose to ignore its somatic and verbal components..,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Volcanic Adaptation,Gem,Emerald,3 Emerald Orenth traits,You may choose a Fire or Brass Orenth Trait of Tier 3 or lower if you meet the prerequisites for it. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sapphire Cytosis,Gem,Sapphire,3 Sapphire Orenth traits,You may choose a Lightning or Copper Orenth Trait of Tier 3 or lower if you meet the prerequisites. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Seaside Dragon,Gem,Topaz,3 Topaz Orenth traits,You may choose a Water or Bronze Orenth Trait of Tier 3 or lower if you meet the prerequisites. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Psionic Topple,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the Topple Orenth trait, however, the target must succeed on an Intelligence saving throw instead. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Illusory Graze,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the Graze Orenth trait. However, whenever you miss a creature they take psychic damage equal to the ability modifier you used for the attack roll plus your Intelligence modifier instead. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Telekinetic Weapon,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the Nick Orenth trait. Additionally, the weapon that has Nick applied to it, no longer requires a free hand to wield. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Skin,Ingens,Giant,Iron Skin,"Your skin hardens like Big, giving you resistance to bludgeoning, piercing and slashing damage.",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acquired Immunity,Ingens,Ooze,Oobleck,When you take damage you may reduce the damage by 1. The damage reduction increases by 1 every subsequent time you take damage. The damage reduction returns to 1 when you don't take damage for an entire round. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Topple,Ingens,Weapon Mastery,Topple Orenth Trait,"Whenever a creature fails the saving throw against your Topple Orenth Trait, their speed is reduced to 0 until the end of your next turn. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Flex,Ingens,Weapon Mastery,Flex Orenth Trait,"Whenever you hit with the weapon that your Flex Orenth trait applies to, you may roll the damage die twice. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Sap,Ingens,Weapon Mastery,Sap Orenth Trait,"You get the benefits of the Sap Orenth trait, but the creature gains disadvantage on all attacks before the start of your next turn. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Slow,Ingens,Weapon Mastery,Slow Orenth Trait,Whenever you hit a creature their speed is reduced to 0 until the start of your next turn. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Deflective Weapons,Ingens,Weapon Mastery,Deflective Weapons Orenth Trait,The amount of dice you roll when you use your Deflective Weapons Orenth trait doubles. Additionally the armour class increase lasts until the start of your next turn. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Distracting Mockery,Metallic,Copper,,"Whenever a creature uses a reaction within 30 feet of you, you may use your reaction to force them to make a Wisdom saving throw (DC = 8+ your prof. bonus + your Charisma modifier). On a failure they take 1d4 psychic damage and lose their reaction. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Inspired Vex,Metallic,Weapon Mastery,Exclusive,"You gain the benefits of the Vex Orenth trait. Additionally, whenever you hit a creature you may also choose to give an ally advantage on their next attack they make against the creature before the start of your next turn. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Living Legend,Metallic,,,Stories have been spread about your great deeds and the people's belief in you bolsters you. You may use your Charisma modifier instead of your Constitution for calculating your hp. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
