Name,Type,Subtype,Prerequisite,Description,Additional Notes,Martial,Spellcasting,Mastery,Offensive,Defensive,Skill,Racial,Flavour,Exclusive,Prereq,Rest,Exploration,Roleplay,Movement,Meta,Piety
Watery Dash,Chromatic,Water,Exclusive,"You gain the benefits of the {@optfeature Charge|ingensorenth} Orenth trait. Additionally while wielding this weapon you gain a swimming speed equal to twice your walking speed, but you can only swim in a straight line and you get advantage on the attack while underwater. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Grasping Grass,Chromatic,Weapon Mastery,Exclusive,"You get the benefits of the {@optfeature Topple|ingensorenth} Orenth Trait. Additionally, whenever a creature fails the saving throw you may choose to restrain them too as vines sprout from the ground. This effect lasts until the end of your next turn. You may do so a number of times equal to your Wisdom modifier and regain all uses after a long rest. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Beat him up boys,Chromatic,Weapon Mastery,"Exclusive, Kobold","You get the benefits of the {@optfeature Vex|ingensorenth} Orenth Trait. Additionally, whenever you successfully hit a creature to gain advantage you may choose to give any ally advantage on attack rolls against them until the start of your next turn. You may use this ability a number of times equal to your Wisdom modifier and regain all uses after a long rest. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acidic Vex,Chromatic,Weapon Mastery,Exclusive,You get the benefits of the {@optfeature Vex|ingensorenth} Orenth trait. Whenever you hit a creature you may forgo the advantage from vex and instead deal an additional 2d4 acid damage when you hit. ,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Poisonous Graze,Chromatic,Weapon Mastery,Exclusive,You get the benefits of the {@optfeature Graze|ingensorenth} Orenth trait. The damage you deal with graze is increased by 1d8 poison damage. ,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aura of Cold,Chromatic,Wind,,"As a bonus action you can activate your aura. While your aura is active, any creature that starts its turn within 5 feet of you becomes slowed. They remain slowed until they end a turn further than 5 feet away from you. It remains as long as you keep concentrating on it. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Expert Moonstone Steps,Metallic,Moonstone,{@optfeature Improved Moonstone Steps|metallicorenth},You’ve become an expert at stepping in and out of reality. When you use your bonus action for Moonstone Steps you gain a teleporting speed equal to your walking speed.,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Psionic Topple,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Topple|ingensorenth} Orenth trait, however, the target must succeed on an Intelligence saving throw instead. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Illusory Graze,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Graze|ingensorenth} Orenth trait. However, whenever you miss a creature they take psychic damage equal to the ability modifier you used for the attack roll plus your Intelligence modifier instead. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Telekinetic Weapon,Gem,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Nick|ingensorenth} Orenth trait. Additionally, the weapon that has Nick applied to it, no longer requires a free hand to wield. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Skin,Ingens,Giant,{@optfeature Iron Skin|ingensorenth},"Your skin hardens like Big, giving you resistance to bludgeoning, piercing and slashing damage.",Probably tier 5? ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acquired Immunity,Ingens,Ooze,,When you take damage you may reduce the damage by 1. The damage reduction increases by 1 every subsequent time you take damage. The damage reduction returns to 1 when you don't take damage for an entire round. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Topple,Ingens,Weapon Mastery,{@optfeature Topple|ingensorenth} ,"Whenever a creature fails the saving throw against your Topple Orenth Trait, their speed is reduced to 0 until the end of your next turn. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Flex,Ingens,Weapon Mastery,{@optfeature Flex|ingensorenth} ,"Whenever you hit with the weapon that your Flex Orenth trait applies to, you may roll the damage die twice. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Sap,Ingens,Weapon Mastery,{@optfeature Sap|ingensorenth},"You get the benefits of the Sap Orenth trait, but the creature gains disadvantage on all attacks before the start of your next turn. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Slow,Ingens,Weapon Mastery,{@optfeature Slow|ingensorenth},Whenever you hit a creature their speed is reduced to 0 until the start of your next turn. ,Change and higher tier??,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Weapon Mastered: Deflective Weapons,Ingens,Weapon Mastery,{@optfeature Deflective Weapons|ingensorenth},The amount of dice you roll when you use your Deflective Weapons Orenth trait doubles. Additionally the armour class increase lasts until the start of your next turn. ,Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Distracting Mockery,Metallic,Copper,,"Whenever a creature uses a reaction within 30 feet of you, you may use your reaction to force them to make a Wisdom saving throw (DC = 8+ your prof. bonus + your Charisma modifier). On a failure they take 1d4 psychic damage and lose their reaction. ",,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Inspired Vex,Metallic,Weapon Mastery,Exclusive,"You gain the benefits of the {@optfeature Vex|ingensorenth} Orenth trait. Additionally, whenever you hit a creature you may also choose to give an ally advantage on their next attack they make against the creature before the start of your next turn. ",Change,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Living Legend,Metallic,,,Stories have been spread about your great deeds and the people's belief in you bolsters you. You may use your Charisma modifier instead of your Constitution for calculating your hp. ,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Formidable Recovery,Other,Spell Recovery,,Choose a tier 1 Orenth trait that gives you a first level spellslot back. You may instead get a fourth level spellslot back. The orenth type of this trait is the same as the tier 1 trait you choose.  You cannot choose the same tier 1 trait in this way twice.,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Multitasking,Cosmic,Spell Mastery,Exclusive,Choose a spell of a level equal to your proficiency bonus divided by 3 (rounded down). Whenever you cast this spell it doesn't require concentration. ,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Surviving Summoner,Fey,Spell Mastery,Exclusive,"Choose a spell that summons a creature. Whenever the creature you summoned is reduced to zero hit points it doesn't disappear, it instead falls unconscious and gets to make death saving throws. Only when it fails all death saves does it dissapear. ",Change with new summoning spells? ,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
 Active Concentration,Cosmic,Spell Mastery,Exclusive,Choose a spell that requires concentration. Instead of concentration on the spell you may instead use a bonus action on each of your turns the spell is active to keep the spell up. You immediately start concentrating on the spell when you don't use your bonus action on a turn for this purpose. You may still only have one concentration spell active at a time. ,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Winged Kobold,Chromatic,Wind,White Kobold,You gain a flying speed equal to half your walking speed. You cannot fly while wearing medium or heavy armour. ,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
